ProductID,ProductName,ProductType,Size,ItemCode,MinOrderQty,EXPORT_pricePerSqm,MASTER_DISTRIBUTOR_pricePerSqm,DEALER_pricePerSqm,DEALER_2_pricePerSqm,Approval_Retail_pricePerSqm,Stage25_pricePerSqm,Stage2_pricePerSqm,Stage15_pricePerSqm,Stage1_pricePerSqm,Retail_pricePerSqm
1,Graffiti Polyester Paper Graffiti Polyester Paper 5mil,Graffiti Polyester Paper 5mil,8.5"x11",GOSF05-08x11,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.70
2,Graffiti Polyester Paper Graffiti Polyester Paper 5mil,Graffiti Polyester Paper 5mil,11"x17",GOSF05-11x17,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.70
3,Graffiti Polyester Paper Graffiti Polyester Paper 5mil,Graffiti Polyester Paper 5mil,12"x18",GOSF05-12x18,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.70
4,Graffiti Polyester Paper Graffiti Polyester Paper 5mil,Graffiti Polyester Paper 5mil,13"x19",GOSF05-13x19,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.70
5,Graffiti Polyester Paper Graffiti Polyester Paper 5mil,Graffiti Polyester Paper 5mil,20.9"x29.5",GOSF05-21x30,50 Sheets,2.21,2.68,2.98,3.13,3.42,4.28,4.56,4.85,5.13,5.70
6,Graffiti Polyester Paper Graffiti Polyester Paper 8mil,Graffiti Polyester Paper 8mil,8.5"x11",GOSF08-08x11,50 Sheets,3.11,3.78,4.20,4.42,5.36,5.74,6.12,6.50,6.89,7.65
7,Graffiti Polyester Paper Graffiti Polyester Paper 8mil,Graffiti Polyester Paper 8mil,11"x17",GOSF08-11x17,50 Sheets,3.11,3.78,4.20,4.42,5.36,5.74,6.12,6.50,6.89,7.65
8,Graffiti Polyester Paper Graffiti Polyester Paper 8mil,Graffiti Polyester Paper 8mil,12"x18",GOSF08-12x18,50 Sheets,3.11,3.78,4.20,4.42,5.36,5.74,6.12,6.50,6.89,7.65
9,Graffiti Polyester Paper Graffiti Polyester Paper 8mil,Graffiti Polyester Paper 8mil,13"x19",GOSF08-13x19,50 Sheets,3.11,3.78,4.20,4.42,5.36,5.74,6.12,6.50,6.89,7.65
10,Graffiti Polyester Paper Graffiti Polyester Paper 10mil,Graffiti Polyester Paper 10mil,8.5"x11",GOSF10-08x11,50 Sheets,4.32,5.24,5.82,6.13,6.81,7.30,7.78,8.27,8.76,9.73
11,Graffiti Polyester Paper Graffiti Polyester Paper 10mil,Graffiti Polyester Paper 10mil,11"x17",GOSF10-11x17,50 Sheets,4.32,5.24,5.82,6.13,6.81,7.30,7.78,8.27,8.76,9.73
12,Graffiti Polyester Paper Graffiti Polyester Paper 10mil,Graffiti Polyester Paper 10mil,12"x18",GOSF10-12x18,50 Sheets,4.32,5.24,5.82,6.13,6.81,7.30,7.78,8.27,8.76,9.73
13,Graffiti Polyester Paper Graffiti Polyester Paper 10mil,Graffiti Polyester Paper 10mil,13"x19",GOSF10-13x19,50 Sheets,4.32,5.24,5.82,6.13,6.81,7.30,7.78,8.27,8.76,9.73
14,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,8.5"x11",GOSF11-08x11,50 Sheets,4.60,5.58,6.20,6.53,7.81,8.37,8.93,9.49,10.04,11.16
15,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,11"x17",GOSF11-11x17,50 Sheets,4.60,5.58,6.20,6.53,7.81,8.37,8.93,9.49,10.04,11.16
16,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,12"x18",GOSF11-12x18,50 Sheets,4.60,5.58,6.20,6.53,7.81,8.37,8.93,9.49,10.04,11.16
17,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,13"x19",GOSF11-13x19,50 Sheets,4.60,5.58,6.20,6.53,7.81,8.37,8.93,9.49,10.04,11.16
18,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,14.33"x20.5",GOSF11-14x20,50 Sheets,4.60,5.58,6.20,6.53,7.81,8.37,8.93,9.49,10.04,11.16
19,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,14.33"x26",GOSF11-14x26,50 Sheets,4.60,5.58,6.20,6.53,7.81,8.37,8.93,9.49,10.04,11.16
20,Graffiti Polyester Paper Graffiti Polyester Paper 11mil,Graffiti Polyester Paper 11mil,20.9"x29.5",GOSF11-21x30,50 Sheets,4.60,5.58,6.20,6.53,7.81,8.37,8.93,9.49,10.04,11.16
21,Graffiti Polyester Paper Graffiti BlockOut Polyester 11mil,Graffiti BlockOut Polyester 11mil,13"x19",GOBO11-13x19,50 Sheets,4.86,5.90,6.56,6.90,8.26,8.85,9.44,10.03,10.62,11.80
22,Graffiti Polyester Paper Graffiti BlockOut Polyester 11mil,Graffiti BlockOut Polyester 11mil,20.9"x29.5",GOBO11-21x30,50 Sheets,4.86,5.90,6.56,6.90,8.26,8.85,9.44,10.03,10.62,11.80
23,Graffiti Polyester Paper Graffiti Polyester Paper 14mil,Graffiti Polyester Paper 14mil,11"x17",GOSF14-11x17,25 Sheets,6.14,7.46,8.29,8.73,9.10,9.75,10.40,11.05,11.70,13.00
24,Graffiti Polyester Paper Graffiti Polyester Paper 14mil,Graffiti Polyester Paper 14mil,12"x18",GOSF14-12x18,25 Sheets,6.14,7.46,8.29,8.73,9.10,9.75,10.40,11.05,11.70,13.00
25,Graffiti Polyester Paper Graffiti Polyester Paper 14mil,Graffiti Polyester Paper 14mil,13"x19",GOSF14-13x19,25 Sheets,6.14,7.46,8.29,8.73,9.10,9.75,10.40,11.05,11.70,13.00
