Source,Type,Width,Length,Unit,Pack Qty,Price/Pack,Price/Sheet,Thickness,Product Kind,Surface Finish,Supplier,Info From,Notes
TerraSlate Website,sheet,11,17,in,25,$40.00,,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,25 Sheet Price - Price Changes by Quantity| Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
TerraSlate Website,sheet,11,17,in,50,$76.00,,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,50Sheet Price - Price Changes by Quantity| Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
TerraSlate Website,sheet,11,17,in,100,$141.00,,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,100Sheet Price - Price Changes by Quantity| Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
TerraSlate Website,sheet,11,17,in,250,$308.00,,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,250Sheet Price - Price Changes by Quantity| Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
TerraSlate Website,sheet,11,17,in,500,$531.00,,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,500Sheet Price - Price Changes by Quantity| Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
TerraSlate Website,sheet,11,17,in,1000,$991.00,,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,1000Sheet Price - Price Changes by Quantity| Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
TerraSlate Website,sheet,11,17,in,2500,"$2,342.00",,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,2500Sheet Price - Price Changes by Quantity| Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
TerraSlate Website,sheet,11,17,in,5000,"$4,574.00",,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,5000Sheet Price - Price Changes by Quantity| Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
TerraSlate Website,sheet,11,17,in,10000,"$8,437.00",,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,10000Sheet Price - Price Changes by Quantity| Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
TerraSlate Website,sheet,11,17,in,25000,"$19,028.00",,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,25000Sheet Price - Price Changes by Quantity| Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
TerraSlate Website,sheet,11,17,in,50000,"$36,285.00",,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,50000Sheet Price - Price Changes by Quantity| Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
TerraSlate Website,sheet,11,17,in,100000,"$71,119.00",,5mil,Terraslate 5mil,Satin,TerraSlate,Supplier Website,100000Sheet Price - Price Changes by Quantity | Terraslate Waterproof Copy Paper Ð Durable & Rip-Proof
