ItemCode,product_name,ProductType,size,total_sqm,min_quantity,Export,M.Distributor,Dealer,Dealer2,ApprovalNeeded,TierStage25,TierStage2,TierStage15,TierStage1,Retail,row_hash
GOSF05-08x11,"Graffiti Polyester Paper","Graffiti Polyester 5mil","8.5x11",0.060322,50,2.65,2.80,3.07,3.24,4.90,5.25,5.60,6.30,6.66,7.77,80040f7b2bbe3f8acfe4810f2714f5014f8d3494fbcffef68cc5bca5afb508fd
GOSF05-11x17,"Graffiti Polyester Paper","Graffiti Polyester 5mil","11x17",0.120645,50,2.65,2.80,3.07,3.24,4.90,5.25,5.60,6.30,6.66,7.77,057287e0236e4f24f17d3facb75a900609e15d3eff8dec155161e6e547a15f27
GOSF05-12x18,"Graffiti Polyester Paper","Graffiti Polyester 5mil","12x18",0.139355,50,2.65,2.80,3.07,3.24,4.90,5.25,5.60,6.30,6.66,7.77,2d740f291c2afabe77f748c639b1046a118a40b1e2698eeed88c1093c504b5bb
GOSF05-13x19,"Graffiti Polyester Paper","Graffiti Polyester 5mil","13x19",0.159355,50,2.65,2.80,3.07,3.24,4.90,5.25,5.60,6.30,6.66,7.77,cb57f2378203961d460868ce78a24f288df716252cef5791e2797aa4922d5b73
GOSF05-21x30,"Graffiti Polyester Paper","Graffiti Polyester 5mil","20.9x29.5",0.397773,50,2.65,2.80,3.07,3.24,4.90,5.25,5.60,6.30,6.66,7.77,9bf7b37e038a3b08930c5681c6eaf439074f1621a957a410d1723440f32b6c3f
GOSF08-08x11,"Graffiti Polyester Paper","Graffiti Polyester 8mil","8.5x11",0.060322,50,3.21,3.90,4.34,4.56,5.43,5.81,6.20,6.98,7.36,7.75,f8b5c02f570c8cb70f70ca8e3245393a849f813a5c68606381e3bfbae7984eb3
GOSF08-11x17,"Graffiti Polyester Paper","Graffiti Polyester 8mil","11x17",0.120645,50,3.21,3.90,4.34,4.56,5.43,5.81,6.20,6.98,7.36,7.75,41a90431d532cd922142996ac8cca26d4ba18766ec6fc394840950b3c3327a96
GOSF08-12x18,"Graffiti Polyester Paper","Graffiti Polyester 8mil","12x18",0.139355,50,3.21,3.90,4.34,4.56,5.43,5.81,6.20,6.98,7.36,7.75,abab0ebf20b05fc786e9b698e26ac6b9964a3e15f52fa499d7908df21d7cbded
GOSF08-13x19,"Graffiti Polyester Paper","Graffiti Polyester 8mil","13x19",0.159355,50,3.21,3.90,4.34,4.56,5.43,5.81,6.20,6.98,7.36,7.75,d98dfc9e8a5645a7c41d86144f4c245156432f13ad9120203d5130aef75ff302
GOSF08-14x20,"Graffiti Polyester Paper","Graffiti Polyester 8mil","14.33x20.5",0.189525,50,3.21,3.90,4.34,4.56,5.43,5.81,6.20,6.98,7.36,7.75,d0774c0e7c01ee6798ab39b6ed2227df63f0bae61d30965d33bb03301f05775b
GOSF10-08x11,"Graffiti Polyester Paper","Graffiti Polyester 10mil","8.5x11",0.060322,50,4.45,5.41,6.01,6.33,7.00,7.50,8.00,9.00,9.50,10.00,e4b0c339714aa00d42f5696e8f2e0e244df41bac23b7fbb4002fe5c4c1c3f3f6
GOSF10-11x17,"Graffiti Polyester Paper","Graffiti Polyester 10mil","11x17",0.120645,50,4.45,5.41,6.01,6.33,7.00,7.50,8.00,9.00,9.50,10.00,96809309335bde04dee182fa6bad4ff1a696eb4d4db076edf185420c2f9a8f10
GOSF10-12x18,"Graffiti Polyester Paper","Graffiti Polyester 10mil","12x18",0.139355,50,4.45,5.41,6.01,6.33,7.00,7.50,8.00,9.00,9.50,10.00,f4e06fa620a66ab4c0de491206207b32c04069a702a9b036fbe50f489c8498ed
GOSF10-13x19,"Graffiti Polyester Paper","Graffiti Polyester 10mil","13x19",0.159355,50,4.45,5.41,6.01,6.33,7.00,7.50,8.00,9.00,9.50,10.00,0ace55b39fe7c9ecc945d132b07dc98b83eacefac49038e84167e6f69bff9d29
GOSF11-08x11,"Graffiti Polyester Paper","Graffiti Polyester 11mil","8.5x11",0.060322,50,5.02,6.09,6.77,7.12,8.40,9.00,9.60,10.80,11.40,12.00,4d9e4f2b5f9b27fe780afa130f89521d05b241cca679bde024f55aca16f497a2
GOSF11-11x17,"Graffiti Polyester Paper","Graffiti Polyester 11mil","11x17",0.120645,50,5.02,6.09,6.77,7.12,8.40,9.00,9.60,10.80,11.40,12.00,8a5b3e26c7fe45ae8626b0e3b8594bc328e36a6ce5081520212d21aa7ddefb36
GOSF11-12x18,"Graffiti Polyester Paper","Graffiti Polyester 11mil","12x18",0.139355,50,5.02,6.09,6.77,7.12,8.05,8.63,9.20,10.35,10.93,11.50,0f874766e4762b798e387eb1a42e8cb62629dead1a04285631a090e221aa1edc
GOSF11-13x19,"Graffiti Polyester Paper","Graffiti Polyester 11mil","13x19",0.159355,50,5.02,6.09,6.77,7.12,8.05,8.63,9.20,10.35,10.93,11.50,7fad2722b7046209f506f48c813f533078447505d1a305a7058cae0d050255d4
GOSF11-14x20,"Graffiti Polyester Paper","Graffiti Polyester 11mil","14.33x20.5",0.189525,50,5.02,6.09,6.77,7.12,8.05,8.63,9.20,10.35,10.93,11.50,1c455c8b675bffe13db48d5fbb3bea7b8b4d19e5e1e5dc01da9dbfd3eddab75a
GOSF11-14x26,"Graffiti Polyester Paper","Graffiti Polyester 11mil","14.33x26",0.240374,50,5.02,6.09,6.77,7.12,8.05,8.63,9.20,10.35,10.93,11.50,09b536fef34576d4b9c74ba10b0deb6d0b0a05c647d0e435b37d4dad17986424
GOSF11-21x30,"Graffiti Polyester Paper","Graffiti Polyester 11mil","20.9x29.5",0.397773,50,5.02,6.09,6.77,7.12,8.05,8.63,9.20,10.35,10.93,11.50,9b0990d4b06c6b654bf48f0356ec87c3cd971d8163d18566527079c130d2ab8b
GOBO11-13x19,"Graffiti Polyester Paper","Graffiti Polyester 11mil - BlockOut","13x19",0.159355,50,5.10,6.38,7.29,7.85,8.40,9.00,9.60,10.80,11.40,12.00,1c5dd587747bbf8b262866ac25ef9cfb0cdf1cede2e127b5c43e171e48825495
GOBO11-21x30,"Graffiti Polyester Paper","Graffiti Polyester 11mil - BlockOut","20.9x29.5",0.397773,50,5.10,5.90,6.56,6.90,8.40,9.00,9.60,10.80,11.40,12.00,d3b9da87ab26684e7577c69fc1a533e64532118fa6069ec51ea6bcca943aec1e
GOSF14-08x11,"Graffiti Polyester Paper","Graffiti Polyester 14mil","8.5x11",0.120645,25,6.34,7.70,8.56,9.10,10.15,10.88,11.60,13.05,13.78,14.50,3f610a962a72b6b652719e116da9e3d7596cd95bca8f3f40f476ce2acbd5c7b5
GOSF14-08x14,"Graffiti Polyester Paper","Graffiti Polyester 14mil","8.5x14",0.120645,25,6.34,7.70,8.56,9.10,10.15,10.88,11.60,13.05,13.78,14.50,d5b31e618eee5bada40d0ac9546a0868c66dc9207b1483532be82ed3ec23b919
GOSF14-11x17,"Graffiti Polyester Paper","Graffiti Polyester 14mil","11x17",0.120645,25,6.34,7.70,8.56,9.10,9.10,9.75,10.40,11.70,12.35,13.00,c1b0048565d1f714311ab04bb8e013d14596726b418be0543b60675c3cc7bac2
GOSF14-12x18,"Graffiti Polyester Paper","Graffiti Polyester 14mil","12x18",0.139355,25,6.34,7.70,8.56,9.10,9.10,9.75,10.40,11.70,12.35,13.00,806ce259de852fecbb329dfd462bb184da792d155a913b158779365c0257a96d
GOSF14-13x19,"Graffiti Polyester Paper","Graffiti Polyester 14mil","13x19",0.159355,25,6.34,7.70,8.56,9.10,9.10,9.75,10.40,11.70,12.35,13.00,47464c86e72f9c5dc6104d239f7695ad1328a268ad985ad5ed7965ff5e99c102
GOSF14-14x20,"Graffiti Polyester Paper","Graffiti Polyester 14mil","14.33x20.5",0.189525,25,6.34,7.70,8.56,9.10,9.10,9.75,10.40,11.70,12.35,13.00,7bd18d7fae57c5286884eaf51c698d414a714ca300dffd3e5b048b11ad385ffd
GOSF14-14x26,"Graffiti Polyester Paper","Graffiti Polyester 14mil","14.33x26",0.240374,25,6.34,7.70,8.56,9.10,9.10,9.75,10.40,11.70,12.35,13.00,5d98c5169db3e3639ca22d16d67766139afb647f006f53214a7f470c45a363bd
GMEG08-13x19,"Graffiti Polyester Paper","Graffiti Polyester Film - Gold 8mil","13x19",0.159355,50,5.95,7.23,8.03,8.45,9.80,10.50,11.20,12.60,13.30,14.00,d6226493aed051a234d6b6125e033cca5f97176a13842826758a371deb1e253c
GMEG11-13x19,"Graffiti Polyester Paper","Graffiti Polyester Film - Gold 11mil","13x19",0.159355,50,8.50,10.32,11.47,12.07,14.00,15.00,16.00,18.00,19.00,20.00,e4d23a47dd5413dfbff6134decf600d9dbf839cf64f59c245baabeacf5e71689
